adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/5luaIi1lLzLfgl8oywifeUtPN6W.jpg,"[16, 35, 10751, 14, 10749]",976573,en,Elemental,"Em uma cidade onde moradores do fogo, da água, da terra e do ar vivem juntos, uma jovem impetuosa e um homem tranquilo estão prestes a descobrir algo elementar: o quanto realmente têm em comum.",121.198,/tsfaRkZfUl5Ve9GMV8oY0UuLH52.jpg,2023-06-14,Elementos,False,7.629,4517
False,/lxD5ak7BOoinRNehOCA85CQ8ubr.jpg,"[16, 12, 10751, 35]",862,en,Toy Story,"Buzz Lightyear é o novo e sofisticado astronauta de brinquedo do garoto Andy. Buzz não imaginava que encontraria um rival: Woody, um cowboy de brinquedo que, dominado pelo ciúme, acredita ter perdido um lugar precioso no coração do seu dono. Os dois brinquedos vivem brigando até que vão parar nas garras do vizinho, um verdadeiro destruidor de brinquedos. Agora, mais do que nunca, Buzz e Woody precisam precisam se unir para escapar do perigo. Com a ajuda de seus amigos da caixa de brinquedos, eles vão viver uma incrível aventura.",118.974,/AptcisAVyZqBllXLEGje8MjKzJI.jpg,1995-10-30,Toy Story: Um Mundo de Aventuras,False,7.971,18401
False,/sDTnMOJ3H5wI38OxObmCtK7wfd5.jpg,"[16, 35, 10751]",585,en,"Monsters, Inc.","O astro do susto, Sulley, e seu falante assistente, Mike, trabalham na Monstros S.A., a maior fábrica de processamento de gritos da cidade de Monstrópolis. A principal fonte de energia do mundo dos monstros provém da coleta dos gritos das crianças humanas. Os monstros acreditam que as crianças são tóxicas, e entram em pânico quando uma menininha invade seu mundo. Sulley e Mike fazem de tudo para levar a garota de volta para casa, mas enfrentam desafios monstruosos e algumas situações hilárias em suas atrapalhadas aventuras.",116.982,/mKiG037CiuSZqL1gxsDHyBj28lg.jpg,2001-11-01,Monstros S.A.,False,7.846,18449
False,/5MnP0h7RcUCeX7gpxMYoMScmfq7.jpg,"[14, 28, 12, 16, 35, 10751]",82702,en,How to Train Your Dragon 2,"Cinco anos após convencer os habitantes de seu vilarejo que os dragões não devem ser combatidos, Soluço convive com seu dragão Fúria da Noite, e estes animais integraram pacificamente a rotina dos moradores da ilha de Berk. Entre viagens pelos céus e corridas de dragões, Soluço descobre uma caverna secreta, onde centenas de novos dragões vivem. O local é protegido por Valka, mãe de Soluço, que foi afastada do filho quando ele ainda era um bebê. Juntos, eles precisarão proteger o mundo que conhecem do perigoso Drago Bludvist, que deseja controlar todos os dragões existentes.",113.448,/yqRLscDZE52mAkNhVTKtVVpC5QC.jpg,2014-06-05,Como Treinar o seu Dragão 2,False,7.675,9577
False,/3G1Q5xF40HkUBJXxt2DQgQzKTp5.jpg,"[16, 35, 10751, 14]",568124,en,Encanto,"Uma garota chamada Mirabel Madrigal cresce como o único membro não mágico de sua família, que vivem escondidos em uma vibrante casa encantada nas montanhas da Colômbia.",106.885,/nUG2CEEYbuvaARFUdyWXAIvM8RR.jpg,2021-10-13,Encanto,False,7.599,9484
False,/42QKmIdogK82MwmR27AF4buZNNR.jpg,"[16, 10751, 35]",10193,en,Toy Story 3,"Quando Andy se prepara para ir para a faculdade, Woody, Buzz, Jessie e o restante dos leais brinquedos de Andy pensam o que irá acontecer com eles. Mas quando uma confusão faz com que eles sejam levados à creche Sunnyside, eles conhecem um anfitrião de novos brinquedos e logo descobrem que uma nova aventura selvagem está apenas começando!",101.899,/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,2010-06-16,Toy Story 3,False,7.8,14655
False,/msnknPOg9dx86b0YozXOFP8PgBI.jpg,"[10751, 16, 12, 35]",270946,en,Penguins of Madagascar,"Vindos da franquia de animação Madagascar, Capitão, Kowalski, Rico e Recruta, a elite do pinguins espiões, são capturados em uma missão que tinha como objetivo presentear o integrante mais novo da tropa (Recruta) em seu aniversário. Eles caem nas garras do temido Dr. Otavius Brine, que se sentiu prejudicado pelo quarteto em um passado remoto. Agora, eles vão ter que impedir o maléfico plano do vilão de se vingar dos pinguins do mundo todo e, para isso, terão que juntar forças com uma especializada agência de espiões, a Vento do Norte, liderada pelo Agente Secreto. Enquanto isso, Recruta tenta provar seu valor como agente especial do time de pinguins.",100.234,/w9jno0ySammISRGvc0RZREjYUvg.jpg,2014-11-22,Os Pinguins de Madagascar: O Filme,False,6.5,4145
False,/p2fRZzxla6NoRbIH2KOZq0gHb5S.jpg,"[16, 12, 10751, 35]",269149,en,Zootopia,"Judy Hopps é a pequena coelha de uma fazenda isolada, filha de agricultores que plantam cenouras há décadas. Mas ela tem sonhos maiores: pretende se mudar para a cidade grande, Zootopia, onde todas as espécies de animais convivem em harmonia, na intenção de se tornar a primeira coelha policial. Judy enfrenta o preconceito e as manipulações dos outros animais, mas conta com a ajuda inesperada da raposa Nick Wilde, conhecida por sua malícia e suas infrações. A inesperada dupla se dedica à busca de um animal desaparecido, descobrindo uma conspiração que afeta toda a cidade.",100.015,/jyjBSQ7lCS2XolhbLeAH5HhXahY.jpg,2016-02-11,Zootopia: Essa Cidade é o Bicho,False,7.75,16329
False,/5XkpmU5pPfWAK0HDTYxILjhfOqq.jpg,"[16, 35, 10751]",863,en,Toy Story 2,"Quando Andy viaja para um acampamento de verão, Woody é sequestrado por Al, um ambiocioso colecionador, que precisa do brinquedo favorito de Andy para completar sua coleção da Gangue do Rodeio. Junto com Jessie, Bala no Alvo e Mineiro, Woody corre o risco de ter que passar o resto de sua vida em exposição num museu. Agora, Buzz, Sr. Cabeça de Batata, Porquinho, Rex e Slinky terão que salvar seu amigo e trazê-lo de volta à vida de brinquedos.",96.881,/yjzb9ojVSEw9vg5kp22ijPKXyMF.jpg,1999-10-30,Toy Story 2,False,7.6,13840
False,/qSNz1G1Ts8fFw6v4Vae4aMAjcY7.jpg,"[14, 12, 16, 35, 10751]",810,en,Shrek the Third,"Quando seu sogro-sapo dá o último coaxo, Shrek embarca em mais uma tresloucada aventura, com Burro e Gato de Botas, para encontrar um novo herdeiro para o trono. O elenco favorito de personagens está de volta e trazendo novos, como Merlin, um mágico trapalhão, um esquisito Arthur, uma turma de poderosas princesas e um bando de surpreendentes aparições. Só mesmo Shrek para contar uma história onde todos vão viver gargalhando para sempre.",94.921,/abw1mIJIjG9X3xSEffE9siLcOkN.jpg,2007-05-17,Shrek Terceiro,False,6.297,9000
